"date","time","open","high","low","close","volume","OI"
12/01/2011,16:00,1246.91,1251.09,1239.73,1244.58,2747356,0
12/02/2011,16:00,1246.03,1260.08,1243.35,1244.28,3031540,0
12/05/2011,16:00,1244.33,1266.73,1244.33,1257.08,3039728,0
12/06/2011,16:00,1257.19,1266.03,1253.03,1258.47,2658668,0
12/07/2011,16:00,1258.14,1267.06,1244.80,1261.01,2931978,0
12/08/2011,16:00,1260.87,1260.87,1231.47,1234.35,3046119,0
12/09/2011,16:00,1234.48,1258.25,1234.48,1255.19,2648403,0
12/12/2011,16:00,1255.05,1255.05,1227.25,1236.47,2521977,0
12/13/2011,16:00,1236.83,1249.86,1219.43,1225.73,3038254,0
12/14/2011,16:00,1225.73,1225.73,1209.47,1211.82,3085852,0
12/15/2011,16:00,1212.12,1225.60,1212.12,1215.75,2762792,0
12/16/2011,16:00,1216.09,1231.04,1215.20,1219.66,3424288,0
12/19/2011,16:00,1219.74,1224.57,1202.37,1205.35,2628849,0
12/20/2011,16:00,1205.72,1242.82,1205.72,1241.30,2905113,0
12/21/2011,16:00,1241.25,1245.09,1229.51,1243.72,2921333,0
12/22/2011,16:00,1243.72,1255.22,1243.72,1254.00,2614750,0
12/23/2011,16:00,1254.00,1265.42,1254.00,1265.33,1640886,0
12/27/2011,16:00,1265.02,1269.37,1262.30,1265.43,1442347,0
12/28/2011,16:00,1265.38,1265.85,1248.64,1249.64,1633924,0
12/29/2011,16:00,1249.75,1263.54,1249.75,1263.02,1564952,0
12/30/2011,16:00,1262.82,1264.12,1257.46,1257.60,1514630,0
01/03/2012,16:00,1258.86,1284.62,1258.86,1277.06,2882800,0
01/04/2012,16:00,1277.03,1278.73,1268.10,1277.30,2734770,0
01/05/2012,16:00,1277.30,1283.05,1265.26,1281.06,3272637,0
01/06/2012,16:00,1280.93,1281.84,1273.34,1277.81,2736297,0
01/09/2012,16:00,1277.83,1281.99,1274.55,1280.70,2546822,0
01/10/2012,16:00,1280.77,1296.46,1280.77,1292.08,3107383,0
01/11/2012,16:00,1292.02,1293.80,1285.41,1292.48,2826225,0
01/12/2012,16:00,1292.48,1296.82,1285.77,1289.09,2788845,0
01/13/2012,16:00,1294.82,1294.82,1277.58,1289.09,2719850,0
01/17/2012,16:00,1290.22,1303.00,1290.22,1293.67,2926233,0
01/18/2012,16:00,1293.65,1308.11,1290.99,1308.04,3182321,0
01/19/2012,16:00,1308.07,1315.49,1308.07,1314.50,3459332,0
01/20/2012,16:00,1314.49,1315.38,1309.17,1315.38,3249148,0
01/23/2012,16:00,1315.29,1322.28,1309.89,1316.00,2884656,0
01/24/2012,16:00,1315.96,1315.96,1306.06,1314.65,2742814,0
01/25/2012,16:00,1314.40,1328.30,1307.65,1326.05,3346928,0
01/26/2012,16:00,1326.28,1333.47,1313.60,1318.43,3435614,0
01/27/2012,16:00,1318.25,1320.06,1311.72,1316.33,2797259,0
01/30/2012,16:00,1316.16,1316.16,1300.49,1313.01,2555108,0
01/31/2012,16:00,1313.53,1321.41,1306.69,1312.41,2948496,0
02/01/2012,16:00,1312.45,1330.52,1312.45,1324.09,3262079,0
02/02/2012,16:00,1324.24,1329.19,1321.57,1325.54,2796125,0
02/03/2012,16:00,1326.21,1345.34,1326.21,1344.90,3232513,0
02/06/2012,16:00,1344.32,1344.36,1337.52,1344.33,2452178,0
02/07/2012,16:00,1344.33,1349.24,1335.92,1347.05,2640822,0
02/08/2012,16:00,1347.04,1351.00,1341.95,1349.96,3019834,0
02/09/2012,16:00,1349.97,1354.32,1344.63,1351.95,3073555,0
02/10/2012,16:00,1351.21,1351.21,1337.35,1342.64,2563681,0
02/13/2012,16:00,1343.06,1353.35,1343.06,1351.77,2468722,0
02/14/2012,16:00,1351.30,1351.30,1340.83,1350.50,2824736,0
02/15/2012,16:00,1350.52,1355.87,1340.80,1343.23,2997009,0
02/16/2012,16:00,1342.61,1359.02,1341.22,1358.04,2941763,0
02/17/2012,16:00,1358.06,1363.40,1357.24,1361.23,3013201,0
02/21/2012,16:00,1361.22,1367.76,1358.11,1362.21,2665487,0
02/22/2012,16:00,1362.11,1362.70,1355.53,1357.66,2603675,0
02/23/2012,16:00,1357.53,1364.24,1352.28,1363.46,2600794,0
02/24/2012,16:00,1363.46,1368.92,1363.46,1365.74,2237598,0
02/27/2012,16:00,1365.20,1371.94,1354.92,1367.59,2600944,0
02/28/2012,16:00,1367.56,1373.09,1365.97,1372.18,2538066,0
02/29/2012,16:00,1372.20,1378.04,1363.81,1365.68,3129880,0
03/01/2012,16:00,1365.90,1376.17,1365.90,1374.09,2745023,0
03/02/2012,16:00,1374.09,1374.53,1366.42,1369.63,2233908,0
03/05/2012,16:00,1369.59,1369.59,1359.13,1364.33,2445145,0
03/06/2012,16:00,1363.63,1363.63,1340.03,1343.36,2916747,0
03/07/2012,16:00,1343.39,1354.85,1343.39,1352.63,2435548,0
03/08/2012,16:00,1352.65,1368.72,1352.65,1365.91,2416854,0
03/09/2012,16:00,1365.97,1374.76,1365.97,1370.87,2461178,0
03/12/2012,16:00,1370.78,1373.04,1366.69,1371.09,2119058,0
03/13/2012,16:00,1371.92,1396.13,1371.92,1395.95,3145292,0
03/14/2012,16:00,1395.95,1399.42,1389.97,1394.28,3414091,0
03/15/2012,16:00,1394.17,1402.63,1392.78,1402.60,3163674,0
03/16/2012,16:00,1402.55,1405.88,1401.47,1404.17,3599898,0
03/19/2012,16:00,1404.17,1414.00,1402.43,1409.75,2915108,0
03/20/2012,16:00,1409.59,1409.59,1397.68,1405.52,2701922,0
03/21/2012,16:00,1405.52,1407.75,1400.64,1402.89,2599659,0
03/22/2012,16:00,1402.89,1402.89,1388.73,1392.78,2578161,0
03/23/2012,16:00,1392.78,1399.18,1386.87,1397.11,2403134,0
03/26/2012,16:00,1397.11,1416.58,1397.11,1416.51,2403819,0
03/27/2012,16:00,1416.55,1419.15,1411.95,1412.52,2503522,0
03/28/2012,16:00,1412.52,1413.65,1397.20,1405.54,2767583,0
03/29/2012,16:00,1405.39,1405.39,1391.56,1403.28,2728437,0
03/30/2012,16:00,1403.31,1410.89,1401.42,1408.47,2534640,0
04/02/2012,16:00,1408.47,1422.38,1404.46,1419.04,2492619,0
04/03/2012,16:00,1418.98,1419.00,1404.62,1413.38,2732770,0
04/04/2012,16:00,1413.09,1413.09,1394.09,1398.96,2739098,0
04/05/2012,16:00,1398.79,1401.60,1392.92,1398.08,2347633,0
04/09/2012,16:00,1397.45,1397.45,1378.24,1382.20,2203362,0
04/10/2012,16:00,1382.18,1383.01,1357.38,1358.59,3281317,0
04/11/2012,16:00,1358.98,1374.71,1358.98,1368.71,2598209,0
04/12/2012,16:00,1368.77,1388.13,1368.77,1387.57,2393833,0
04/13/2012,16:00,1387.61,1387.61,1369.85,1370.26,2623559,0
04/16/2012,16:00,1370.27,1379.66,1365.38,1369.57,2509659,0
04/17/2012,16:00,1369.57,1392.76,1369.57,1390.78,2445175,0
04/18/2012,16:00,1390.78,1390.78,1383.29,1385.14,2517307,0
04/19/2012,16:00,1385.08,1390.46,1370.30,1376.92,3194065,0
04/20/2012,16:00,1376.96,1387.40,1376.96,1378.53,3012448,0
04/23/2012,16:00,1378.53,1378.53,1358.79,1366.94,2702127,0
04/24/2012,16:00,1366.97,1375.57,1366.82,1371.97,2743439,0
04/25/2012,16:00,1372.11,1391.37,1372.11,1390.69,2858962,0
04/26/2012,16:00,1390.64,1402.09,1387.28,1399.98,2700330,0
04/27/2012,16:00,1400.19,1406.64,1397.31,1403.36,2445680,0
04/30/2012,16:00,1403.26,1403.26,1394.00,1397.91,2219164,0
05/01/2012,16:00,1397.86,1415.32,1395.73,1405.82,2621495,0
05/02/2012,16:00,1405.50,1405.50,1393.92,1402.31,2572021,0
05/03/2012,16:00,1402.32,1403.07,1388.71,1391.57,2618648,0
05/04/2012,16:00,1391.51,1391.51,1367.96,1369.10,2668462,0
05/07/2012,16:00,1368.79,1373.91,1363.94,1369.58,2570061,0
05/08/2012,16:00,1369.16,1369.16,1347.75,1363.72,2958013,0
05/09/2012,16:00,1363.20,1363.73,1343.13,1354.58,3068066,0
05/10/2012,16:00,1354.58,1365.88,1354.58,1357.99,2832117,0
05/11/2012,16:00,1358.11,1365.66,1348.89,1353.39,2847108,0
05/14/2012,16:00,1351.93,1351.93,1336.61,1338.35,2600558,0
05/15/2012,16:00,1338.36,1344.94,1328.41,1330.66,2938062,0
05/16/2012,16:00,1330.78,1341.78,1324.79,1324.80,3112652,0
05/17/2012,16:00,1324.82,1326.36,1304.86,1304.86,3201681,0
05/18/2012,16:00,1305.05,1312.24,1291.98,1295.22,3381656,0
05/21/2012,16:00,1295.73,1316.39,1295.73,1315.99,2749171,0
05/22/2012,16:00,1316.09,1328.49,1310.04,1316.63,2834125,0
05/23/2012,16:00,1316.02,1320.71,1296.53,1318.86,3101202,0
05/24/2012,16:00,1318.72,1324.14,1310.50,1317.82,2740710,0
05/25/2012,16:00,1320.81,1324.20,1314.23,1317.82,1933857,0
05/29/2012,16:00,1318.90,1334.93,1318.90,1332.42,2311871,0
05/30/2012,16:00,1331.25,1331.25,1310.76,1313.32,2470462,0
05/31/2012,16:00,1313.09,1319.74,1298.90,1310.33,2914248,0
06/01/2012,16:00,1309.87,1309.87,1277.25,1278.04,3372612,0
